Timestamp,How long would you like each normal period to last? [4 days],How long would you like each normal period to last? [5 days],How long would you like each normal period to last? [7 days],"How long would you like each normal period to last? [Variable length, each period covering roughly 2 weekend days]","How long would you like each normal period to last? [Variable length, each period covering roughly 3 weekend days]",Please rank in order of preference how long you'd like us to spend on each entry in the series. [A month],Please rank in order of preference how long you'd like us to spend on each entry in the series. [5 weeks],Please rank in order of preference how long you'd like us to spend on each entry in the series. [6 weeks],"Please rank in order of preference how long you'd like us to spend on each entry in the series. [No set length, follow period length order]",Which spoiler policy would you prefer on the discussion posts?,Post up before or after replay period
3/26/2026 2:52:45,First choice,Second choice,Third choice,Fourth choice,Fifth choice,Second choice,Third choice,Fourth choice,First choice,Require spoiler tags for anything beyond where the replay is,Before (so discussion over several days)
3/26/2026 3:08:48,Fourth choice,First choice,Fifth choice,Second choice,Third choice,First choice,Third choice,Fourth choice,Second choice,Require spoiler tags for anything beyond where the replay is,Before (so discussion over several days)
3/26/2026 3:11:49,Third choice,Second choice,First choice,Fifth choice,Fourth choice,Fourth choice,Third choice,Second choice,First choice,Require spoiler tags for anything beyond where the replay is,Before (so discussion over several days)
3/26/2026 3:28:26,Fifth choice,Fourth choice,Third choice,Second choice,First choice,Fourth choice,Third choice,Second choice,First choice,Require spoiler tags for anything beyond where the replay is,After (so discussion mostly on one day)
3/26/2026 3:46:44,Third choice,Fourth choice,Fifth choice,Second choice,First choice,Second choice,Third choice,Fourth choice,First choice,Require spoiler tags for anything beyond where the replay is,After (so discussion mostly on one day)
3/26/2026 3:50:25,Fifth choice,Fourth choice,First choice,Second choice,Third choice,Fourth choice,Third choice,First choice,Second choice,Full spoilers allowed untagged (minus entries not covered in the replay),Before (so discussion over several days)
3/26/2026 4:08:45,Fifth choice,Fourth choice,First choice,Second choice,Third choice,Fourth choice,Third choice,First choice,Second choice,Require spoiler tags for anything beyond where the replay is,After (so discussion mostly on one day)
3/26/2026 4:39:10,Third choice,First choice,Second choice,Fifth choice,Fourth choice,First choice,Second choice,Third choice,Fourth choice,Full spoilers allowed untagged (minus entries not covered in the replay),Before (so discussion over several days)
3/26/2026 4:41:55,Third choice,First choice,Second choice,Fourth choice,Fifth choice,Fourth choice,Second choice,Third choice,First choice,Require spoiler tags for anything beyond where the replay is,Before (so discussion over several days)
3/26/2026 5:17:38,Fifth choice,Second choice,First choice,Third choice,Fourth choice,Fourth choice,Third choice,Second choice,First choice,Require spoiler tags for anything beyond where the replay is,Before (so discussion over several days)
3/26/2026 5:50:29,Fifth choice,Third choice,Second choice,First choice,Fourth choice,Fourth choice,Third choice,Second choice,First choice,Require spoiler tags for anything beyond where the replay is,Before (so discussion over several days)
3/26/2026 5:54:33,Third choice,Second choice,First choice,Fifth choice,Fourth choice,Third choice,Second choice,First choice,Fourth choice,Require spoiler tags for anything beyond where the replay is,After (so discussion mostly on one day)
3/26/2026 6:16:28,Third choice,Second choice,First choice,Fifth choice,Fourth choice,Fourth choice,Third choice,Second choice,First choice,Require spoiler tags for anything beyond where the replay is,Before (so discussion over several days)
3/26/2026 11:50:35,First choice,Fourth choice,Fifth choice,Second choice,Third choice,First choice,Second choice,Third choice,Fourth choice,Full spoilers allowed untagged (minus entries not covered in the replay),Before (so discussion over several days)
3/26/2026 23:53:09,Fourth choice,First choice,Second choice,Fifth choice,Third choice,Fourth choice,Second choice,Third choice,First choice,Require spoiler tags for anything beyond where the replay is,Before (so discussion over several days)
3/27/2026 1:56:30,Second choice,First choice,Third choice,Fourth choice,Fifth choice,First choice,Second choice,Third choice,Fourth choice,Full spoilers allowed untagged (minus entries not covered in the replay),Before (so discussion over several days)
3/28/2026 7:37:12,Third choice,Fourth choice,Fifth choice,First choice,Second choice,First choice,Second choice,Third choice,Fourth choice,Require spoiler tags for anything beyond where the replay is,After (so discussion mostly on one day)
